"Dátum","Nyitó ár","Záró ár","Max","Min","Átlag","Forgalom (mFt)","Forgalom (db)"
"2000-01-04","","8715","","","","15519354517",""
"2000-01-05","","8464","","","","15219017339",""
"2000-01-06","","8483","","","","13395502550",""
"2000-01-07","","8694","","","","17493836644",""
"2000-01-10","","8977","","","","18912594975",""
"2000-01-11","","8881","","","","12971922277",""
"2000-01-12","","8910","","","","12978925378",""
"2000-01-13","","9084","","","","13936553273",""
"2000-01-14","","9494","","","","28298911040",""
"2000-01-17","","9858","","","","23111856720",""
"2000-01-18","","9781","","","","23906480432",""
"2000-01-19","","9803","","","","17986005878",""
"2000-01-20","","9965","","","","22533404017",""
"2000-01-21","","9794","","","","26789142054",""
"2000-01-24","","9685","","","","22168667716",""
"2000-01-25","","9380","","","","16806706932",""
"2000-01-26","","9600","","","","15281919574",""
"2000-01-27","","9983","","","","29784724031",""
"2000-01-28","","9830","","","","21342137539",""
"2000-01-31","","9548","","","","14228098933",""
"2000-02-01","","9583","","","","16540739228",""
"2000-02-02","","9623","","","","26828956095",""
"2000-02-03","","9614","","","","21619362333",""
"2000-02-04","","9609","","","","14929204850",""
"2000-02-07","","9561","","","","9158442234",""
"2000-02-08","","9927","","","","19181717881",""
"2000-02-09","","9960","","","","24391159671",""
"2000-02-10","","10162","","","","14225380958",""
"2000-02-11","","10130","","","","17888584385",""
"2000-02-14","","10253","","","","16834109808",""
"2000-02-15","","10247","","","","18747404256",""
"2000-02-16","","10340","","","","26821896082",""
"2000-02-17","","10151","","","","21494206652",""
"2000-02-18","","10052","","","","12485028749",""
"2000-02-21","","10145","","","","14705406772",""
"2000-02-22","","10046","","","","18947342053",""
"2000-02-23","","10128","","","","16712072923",""
"2000-02-24","","10129","","","","17024272951",""
"2000-02-25","","10085","","","","13638482035",""
"2000-02-28","","9872","","","","16116052440",""
"2000-02-29","","10124","","","","15285524995",""
"2000-03-01","","9967","","","","17443461699",""
"2000-03-02","","9980","","","","17919713287",""
"2000-03-03","","10050","","","","17553865330",""
"2000-03-06","","10221","","","","19671861745",""
"2000-03-07","","10193","","","","25918506327",""
"2000-03-08","","10178","","","","16068946198",""
"2000-03-09","","10240","","","","27285141842",""
"2000-03-10","","10471","","","","14916384306",""
"2000-03-13","","10203","","","","17570413841",""
"2000-03-14","","10204","","","","12034870368",""
"2000-03-16","","10135","","","","16384697458",""
"2000-03-17","","9996","","","","15087123991",""
"2000-03-20","","10013","","","","12176555932",""
"2000-03-21","","9944","","","","17618310122",""
"2000-03-22","","9920","","","","19306997290",""
"2000-03-23","","9846","","","","18661151868",""
"2000-03-24","","10126","","","","20649040530",""
"2000-03-27","","10294","","","","17760331059",""
"2000-03-28","","10154","","","","14069249525",""
"2000-03-29","","10062","","","","10692916869",""
"2000-03-30","","9945","","","","14940948330",""
"2000-03-31","","10000","","","","12949014462",""
"2000-04-03","","9881","","","","19138211057",""
"2000-04-04","","9887","","","","21253226629",""
"2000-04-05","","9573","","","","19344664871",""
"2000-04-06","","9911","","","","18808510334",""
"2000-04-07","","9913","","","","19226888393",""
"2000-04-10","","9990","","","","15459270816",""
"2000-04-11","","9761","","","","11672160887",""
"2000-04-12","","9786","","","","8259515993",""
"2000-04-13","","9682","","","","16038613842",""
"2000-04-14","","9455","","","","19831314361",""
"2000-04-17","","9025","","","","22173260261",""
"2000-04-18","","8989","","","","16296710636",""
"2000-04-19","","9066","","","","16834385858",""
"2000-04-20","","9072","","","","7051315696",""
"2000-04-21","","9177","","","","3089413507",""
"2000-04-25","","9141","","","","8014599281",""
"2000-04-26","","9032","","","","8778431996",""
"2000-04-27","","8867","","","","21539101632",""
"2000-04-28","","8872","","","","15435704770",""
"2000-05-02","","8975","","","","17887562799",""
"2000-05-03","","9103","","","","15758592665",""
"2000-05-04","","9113","","","","11355069606",""
"2000-05-05","","9026","","","","11092402831",""
"2000-05-08","","9045","","","","6665196780",""
"2000-05-09","","9193","","","","14108992162",""
"2000-05-10","","9023","","","","11339227712",""
"2000-05-11","","9032","","","","13477431300",""
"2000-05-12","","8922","","","","13362142451",""
"2000-05-15","","8977","","","","11942837853",""
"2000-05-16","","8988","","","","15448134048",""
"2000-05-17","","8862","","","","10178395363",""
"2000-05-18","","8891","","","","12086817270",""
"2000-05-19","","8300","","","","24746483980",""
"2000-05-22","","8215","","","","15162697576",""
