DATE,ICERATES1100USD1Y
2014-08-01,0.324
2014-08-04,0.32
2014-08-05,0.326
2014-08-06,0.321
2014-08-07,0.322
2014-08-08,0.318
2014-08-11,0.318
2014-08-12,0.316
2014-08-13,0.306
2014-08-14,0.299
2014-08-15,0.301
2014-08-18,0.306
2014-08-19,0.308
2014-08-20,0.314
2014-08-21,0.324
2014-08-22,0.334
2014-08-25,0.337
2014-08-26,0.338
2014-08-27,0.33
2014-08-28,0.34
2014-08-29,0.337
2014-09-01,.
2014-09-02,0.344
2014-09-03,0.344
2014-09-04,0.345
2014-09-05,0.337
2014-09-08,0.339
2014-09-09,0.362
2014-09-10,0.367
2014-09-11,0.363
2014-09-12,0.372
2014-09-15,0.362
2014-09-16,0.364
2014-09-17,0.36
2014-09-18,0.367
2014-09-19,0.366
2014-09-22,0.361
2014-09-23,0.36
2014-09-24,0.365
2014-09-25,0.36
2014-09-26,0.359
2014-09-29,0.363
2014-09-30,0.365
2014-10-01,0.353
2014-10-02,0.348
2014-10-03,0.364
2014-10-06,0.352
2014-10-07,0.352
2014-10-08,0.348
2014-10-09,0.319
2014-10-10,0.319
2014-10-13,.
2014-10-14,0.301
2014-10-15,0.292
2014-10-16,0.318
2014-10-17,0.318
2014-10-20,0.303
2014-10-21,0.3
2014-10-22,0.308
2014-10-23,0.31
2014-10-24,0.31
2014-10-27,0.305
2014-10-28,0.304
2014-10-29,0.306
2014-10-30,0.318
2014-10-31,0.327
2014-11-03,0.335
2014-11-04,0.328
2014-11-05,0.337
2014-11-06,0.344
2014-11-07,0.337
2014-11-10,0.337
2014-11-11,.
2014-11-12,0.347
2014-11-13,0.342
2014-11-14,0.345
2014-11-17,0.339
2014-11-18,0.336
2014-11-19,0.349
2014-11-20,0.341
2014-11-21,0.34
2014-11-24,0.343
2014-11-25,0.342
2014-11-26,0.339
2014-11-27,.
2014-11-28,0.337
2014-12-01,0.325
2014-12-02,0.351
2014-12-03,0.358
2014-12-04,0.359
2014-12-05,0.4
2014-12-08,0.406
2014-12-09,0.395
2014-12-10,0.4
2014-12-11,0.409
2014-12-12,0.384
2014-12-15,0.398
2014-12-16,0.392
2014-12-17,0.395
2014-12-18,0.42
2014-12-19,0.428
2014-12-22,0.433
2014-12-23,0.454
2014-12-24,0.451
2014-12-25,.
2014-12-26,0.45
2014-12-29,0.442
2014-12-30,0.44
2014-12-31,.
2015-01-01,.
2015-01-02,0.448
2015-01-05,0.451
2015-01-06,0.428
2015-01-07,0.437
2015-01-08,0.436
2015-01-09,0.403
2015-01-12,0.405
2015-01-13,0.408
2015-01-14,0.38
2015-01-15,0.376
2015-01-16,0.385
2015-01-19,.
2015-01-20,0.387
2015-01-21,0.39
2015-01-22,0.401
2015-01-23,0.398
2015-01-26,0.412
2015-01-27,0.397
2015-01-28,0.406
2015-01-29,0.407
2015-01-30,0.401
2015-02-02,0.401
2015-02-03,0.407
2015-02-04,0.431
2015-02-05,0.432
2015-02-06,0.488
2015-02-09,0.491
2015-02-10,0.491
2015-02-11,0.501
2015-02-12,0.493
2015-02-13,0.481
2015-02-16,.
2015-02-17,0.498
2015-02-18,0.507
2015-02-19,0.475
2015-02-20,0.488
2015-02-23,0.484
2015-02-24,0.474
2015-02-25,0.468
2015-02-26,0.483
2015-02-27,0.48
2015-03-02,0.486
2015-03-03,0.501
2015-03-04,0.494
2015-03-05,0.492
2015-03-06,0.527
2015-03-09,0.523
2015-03-10,0.523
2015-03-11,0.527
2015-03-12,0.51
2015-03-13,0.51
2015-03-16,0.507
2015-03-17,0.519
2015-03-18,0.524
2015-03-19,0.49
2015-03-20,0.482
2015-03-23,0.487
2015-03-24,0.485
2015-03-25,0.473
2015-03-26,0.483
2015-03-27,0.471
2015-03-30,0.465
2015-03-31,0.462
2015-04-01,0.459
2015-04-02,0.465
2015-04-03,.
2015-04-06,.
2015-04-07,0.449
2015-04-08,0.45
2015-04-09,0.463
2015-04-10,0.466
2015-04-13,0.461
2015-04-14,0.447
2015-04-15,0.445
2015-04-16,0.451
2015-04-17,0.454
2015-04-20,0.458
2015-04-21,0.466
2015-04-22,0.471
2015-04-23,0.468
