"Dátum","Nyitó ár","Záró ár","Max","Min","Átlag","Forgalom (mFt)","Forgalom (db)"
"2000-01-04","1445.5","1435","1480","1410","1449.2","1810175295","1249050"
"2000-01-05","1375","1373","1408","1355","1395.1","2079386525","1490420"
"2000-01-06","1380","1356","1387","1331","1348.8","2199965045","1630980"
"2000-01-07","1380","1385","1395","1363","1381.4","2108044125","1526010"
"2000-01-10","1410","1470","1485","1410","1451.1","3218532940","2217940"
"2000-01-11","1470","1445","1470.5","1445","1457.9","1292016075","886200"
"2000-01-12","1420.5","1433","1450","1418.5","1435.4","1141632265","795290"
"2000-01-13","1444","1475","1485","1444","1468.1","2252572665","1534330"
"2000-01-14","1480.5","1599.5","1620","1470","1544.3","5211333855","3376660"
"2000-01-17","1601","1650","1680","1600","1649.2","3983389620","2415260"
"2000-01-18","1640","1655","1669","1630.5","1649.4","4117552980","2496360"
"2000-01-19","1630","1715","1715","1630","1678.4","3853048835","2295600"
"2000-01-20","1750","1755","1800","1736","1761.1","3952467125","2244210"
"2000-01-21","1740","1638.5","1755","1625","1695.5","2779394810","1635890"
"2000-01-24","1645.5","1580.5","1665","1580","1602.9","2804333155","1749470"
"2000-01-25","1550","1535","1550","1500","1533.9","2070178235","1349570"
"2000-01-26","1550","1610","1618","1536","1587.9","2437889645","1535250"
"2000-01-27","1650","1760","1770","1620.5","1679.7","7253265470","4318020"
"2000-01-28","1760","1693.5","1765","1680","1729.7","3180437775","1838670"
"2000-01-31","1640","1623.5","1650","1600","1621.8","4053973050","2499500"
"2000-02-01","1674.5","1645.5","1680","1641.5","1655.4","3448885825","2085320"
"2000-02-02","1659","1610","1670","1591","1622","8258111915","5091260"
"2000-02-03","1610","1620","1624","1584","1602","3637904825","2270810"
"2000-02-04","1625","1600","1625","1595","1605.2","1834012890","1142510"
"2000-02-07","1600","1580","1600","1550.5","1573.9","1805665260","1148010"
"2000-02-08","1587.5","1659","1680","1568.5","1632.8","3181751305","1948570"
"2000-02-09","1690.5","1624.5","1700","1620","1671.8","4797953720","2869130"
"2000-02-10","1600","1670","1670","1599.5","1636.9","2438535005","1489670"
"2000-02-11","1700","1630.5","1710","1616.5","1662.1","4397974500","2645920"
"2000-02-14","1620","1628","1665","1610","1633.3","2400321415","1469540"
