"Dátum","Nyitó ár","Záró ár","Max","Min","Átlag","Forgalom (mFt)","Forgalom (db)"
"2000-01-04","1648","1662","1724","1635","1672.1","2415244785","1443910"
"2000-01-05","1600","1646","1660","1600","1635.2","2341792680","1432040"
"2000-01-06","1631","1620","1640","1602.5","1621.6","1926607410","1188070"
"2000-01-07","1650","1636","1660","1630","1645.3","1831873145","1113360"
"2000-01-10","1662.5","1659.5","1684.5","1650","1672.9","1612872090","964110"
"2000-01-11","1664.5","1652.5","1670","1645","1656.9","1144072260","690450"
"2000-01-12","1640","1660","1660","1630","1645.5","1607151710","976640"
"2000-01-13","1665","1688","1692","1665","1679.8","1432509655","852760"
"2000-01-14","1690","1800.5","1822","1690","1767.9","3547747715","2006750"
"2000-01-17","1810","1900","1925","1810","1892.6","3526697680","1863350"
"2000-01-18","1905","1879","1929.5","1860.5","1886.8","3060226060","1621860"
"2000-01-19","1849.5","1835","1887","1830","1859.3","2190059260","1177880"
"2000-01-20","1880","1890","1905","1845","1876.4","2605905300","1388750"
"2000-01-21","1880","1875","1892","1851","1875.2","1096004135","584460"
"2000-01-24","1870","1877.5","1895","1851","1874.2","774977700","413480"
"2000-01-25","1845","1761","1845","1752","1786","1409081305","788920"
"2000-01-26","1790.5","1799","1815","1753","1790.3","974060450","544070"
"2000-01-27","1820","1809","1835","1785","1815.9","694897325","382670"
"2000-01-28","1835","1795","1910","1795","1868","2729762440","1461320"
"2000-01-31","1779.5","1749","1790","1725","1747.1","1098064585","628500"
"2000-02-01","1792","1735.5","1795","1710","1742.1","1889544715","1084600"
"2000-02-02","1751","1800","1844.5","1750.5","1806","2605734265","1442780"
"2000-02-03","1870","1845","1870","1830","1847.1","6060423870","3280900"
"2000-02-04","1850","1857.5","1858","1800","1843.4","2043166425","1108340"
"2000-02-07","1857.5","1850.5","1863","1811","1838.9","907885240","493710"
"2000-02-08","1840","1915","1915","1840","1893.8","2318288785","1225060"
"2000-02-09","1925","1940","1980","1919.5","1951.6","2817949125","1443890"
"2000-02-10","1871","1972","1972","1871","1930.3","1129182165","584970"
"2000-02-11","2000","1979.5","2010","1971.5","1995.2","2693074490","1349760"
"2000-02-14","1950","2010","2010","1935","1994.3","2398997800","1202880"
"2000-02-15","2020","1969","2025","1942","1984","1844482205","929650"
"2000-02-16","1990.5","1900","1997","1885","1919.3","3174222355","1653810"
"2000-02-17","1910","1890","1910","1845","1873.1","2473571150","1320560"
"2000-02-18","1884","1856","1884","1855","1863","822228995","441340"
"2000-02-21","1830.5","1898.5","1899","1825","1859.1","1084399515","583270"
"2000-02-22","1901.5","1869.5","1920.5","1860","1899.1","1526544390","803800"
"2000-02-23","1901.5","1909.5","1910","1879","1894.4","707606285","373520"
"2000-02-24","1920","1910","1929","1880","1898.1","1059179830","558020"
"2000-02-25","1910","1870","1910","1860","1876.8","699751740","372840"
"2000-02-28","1850","1772.5","1869.5","1770","1796.1","2213236380","1232180"
"2000-02-29","1825","1870","1875","1790","1837.2","2766192545","1505590"
"2000-03-01","1899.5","1850.5","1900","1850.5","1876.1","2107121025","1123080"
"2000-03-02","1841","1830","1865","1801","1827.7","2296452420","1256450"
"2000-03-03","1851","1880","1880.5","1830","1853.4","1981158435","1068880"
"2000-03-06","1890.5","1960","1980","1890.5","1956.7","2724498390","1392340"
"2000-03-07","1950","1930","1969.5","1882","1933.3","1093343835","565520"
"2000-03-08","1900","1890","1919","1890","1898.6","398954250","210120"
"2000-03-09","1950","1949","1989","1915","1953.6","1693618465","866900"
"2000-03-10","1961","1920","1970","1920","1951.2","580000760","297250"
"2000-03-13","1899","1865","1900","1846","1858.5","1310818375","705290"
"2000-03-14","1880","1890","1901","1865","1882.6","700467370","372060"
"2000-03-16","1900","1923.5","1925","1900","1911.9","915725190","478960"
"2000-03-17","1960","1867.5","1967","1857","1908","1291712940","676990"
"2000-03-20","1882","1865","1890","1853","1876.6","384500990","204890"
"2000-03-21","1860","1815","1860","1800","1818.5","1395422050","767310"
"2000-03-22","1840","1795","1840","1786","1812.4","1891815650","1043790"
"2000-03-23","1779.5","1740","1790","1728","1750.3","4059099495","2318900"
"2000-03-24","1750","1789","1805","1730","1774.3","2401206790","1353270"
"2000-03-27","1821","1852","1858.5","1820","1845","2740114110","1485090"
"2000-03-28","1853","1789.5","1870","1780","1824.1","1298997235","712120"
"2000-03-29","1798","1790","1809","1779.5","1789.3","650105495","363310"
"2000-03-30","1780","1770","1784","1739.5","1752.5","880551765","502440"
"2000-03-31","1770","1775","1785","1750","1765.8","929733900","526510"
"2000-04-03","1780","1750.5","1795","1747","1772.6","1058265645","596990"
"2000-04-04","1756.5","1755","1800","1746","1771.6","1553765265","877040"
"2000-04-05","1740","1700","1745","1685","1707.4","2043297140","1196730"
"2000-04-06","1711","1748","1749","1711","1731.2","1005118895","580580"
"2000-04-07","1751","1740","1765","1721","1747.1","970995055","555760"
"2000-04-10","1726","1780","1810","1726","1779.7","1511320365","849170"
"2000-04-11","1749.5","1748","1789","1740.5","1766.1","549896045","311360"
"2000-04-12","1755","1736.5","1769","1720.5","1738.6","1286969615","740200"
"2000-04-13","1732.5","1699.5","1732.5","1695","1703.2","3348681685","1966000"
"2000-04-14","1700","1714.5","1748","1687","1718.7","2326338785","1353480"
"2000-04-17","1598","1680","1680","1560","1631","3065719030","1879560"
"2000-04-18","1719","1670","1719","1640","1668.1","2450667535","1469110"
"2000-04-19","1700","1675","1729","1675","1698.7","2628785505","1547470"
"2000-04-20","1673.5","1708","1708","1673.5","1688.5","811679015","480860"
"2000-04-21","1700","1735","1739","1700","1725.8","566847230","328450"
"2000-04-25","1729","1748.5","1750","1710","1734.2","858022705","494760"
"2000-04-26","1730","1660","1749","1660","1704","1573577890","923460"
"2000-04-27","1650","1565","1650","1520","1581.6","2571446760","1625780"
"2000-04-28","1580","1574.5","1586.5","1564","1574.5","1700857110","1080230"
"2000-05-02","1590","1580","1595","1570.5","1583.8","657422725","415070"
"2000-05-03","1560","1595","1595","1560","1582","540793350","341840"
"2000-05-04","1590","1611","1650","1580","1626.4","1237748740","761000"
"2000-05-05","1621","1589.5","1629.5","1561","1589.3","1770949395","1114250"
"2000-05-08","1595","1575","1595","1569","1585.9","1039405085","655380"
