"Dátum","Érték"
"2000-01-04","254.47"
"2000-01-05","254.48"
"2000-01-06","254.59"
"2000-01-07","254.65"
"2000-01-10","254.68"
"2000-01-11","254.72"
"2000-01-12","254.69"
"2000-01-13","254.86"
"2000-01-14","254.84"
"2000-01-17","254.9"
"2000-01-18","254.91"
"2000-01-19","255.01"
"2000-01-20","255.09"
"2000-01-21","255.13"
"2000-01-24","255.11"
"2000-01-25","255.18"
"2000-01-26","255.16"
"2000-01-27","255.31"
"2000-01-28","255.25"
"2000-01-31","255.42"
"2000-02-01","255.44"
"2000-02-02","255.42"
"2000-02-03","255.51"
"2000-02-04","255.51"
"2000-02-07","255.53"
"2000-02-08","255.57"
"2000-02-09","255.64"
"2000-02-10","255.8"
"2000-02-11","255.76"
"2000-02-14","255.8"
"2000-02-15","255.83"
"2000-02-16","255.85"
"2000-02-17","256.02"
"2000-02-18","256.04"
"2000-02-21","256.77"
"2000-02-22","257.07"
"2000-02-23","257.74"
"2000-02-24","256.68"
"2000-02-25","256.91"
"2000-02-28","256.59"
"2000-02-29","256.75"
"2000-03-01","256.49"
"2000-03-02","256.44"
"2000-03-03","256.55"
"2000-03-06","256.55"
"2000-03-07","256.58"
"2000-03-08","256.57"
"2000-03-09","256.71"
"2000-03-10","257.03"
"2000-03-13","257.33"
"2000-03-14","257.66"
"2000-03-16","257.09"
"2000-03-17","257.06"
"2000-03-20","257"
"2000-03-21","257.06"
"2000-03-22","257.08"
"2000-03-23","257.2"
"2000-03-24","257.35"
"2000-03-27","257.38"
"2000-03-28","257.47"
"2000-03-29","257.74"
"2000-03-30","258.45"
"2000-03-31","258.33"
"2000-04-03","258.72"
"2000-04-04","259.3"
"2000-04-05","258.7"
"2000-04-06","259.1"
"2000-04-07","258.76"
"2000-04-10","258.8"
"2000-04-11","258.35"
"2000-04-12","258.18"
"2000-04-13","258.3"
"2000-04-14","257.85"
"2000-04-17","258.59"
"2000-04-18","258.56"
"2000-04-19","258.46"
"2000-04-20","258.2"
"2000-04-21","257.99"
"2000-04-25","258"
"2000-04-26","258.05"
"2000-04-27","258.18"
"2000-04-28","258.17"
